INPUTDATE,"LINE_NO","TRAINDIAGRAMID"
20150123,"06","2014_10_30_15_53_39"
20150123,"07","2014_10_30_16_4_28"
20150123,"08","2014_10_30_16_13_21"
20150123,"09","2014_10_30_16_31_38"
20150123,"10","2014_10_30_16_47_21"
20150123,"11","2014_10_30_16_58_33"
20150123,"12","2014_10_30_20_1_20"
20150123,"13","2014_12_31_18_53_07"
20150123,"16","2014_12_31_18_56_42"
20150719,"10","2015_4_2_10_28_24"
20150719,"11","2014_10_30_17_3_36"
20150719,"12","2014_10_30_20_0_19"
20150719,"13","2014_12_31_18_54_08"
20150719,"16","2015_5_27_15_36_70"
20150724,"01","2014_10_30_11_43_26"
20150724,"02","2014_10_30_15_9_26"
20150724,"03/04","2014_12_31_11_20_30"
20150724,"05","2014_10_30_15_49_09"
20150724,"06","2014_10_30_15_53_39"
20150724,"07","2014_10_30_16_4_28"
20150724,"08","2015_6_29_8_33_27"
20150724,"09","2014_10_30_16_31_38"
20150120,"11","2014_10_30_16_58_33"
20150120,"12","2014_10_30_20_1_20"
20150120,"13","2014_12_31_18_53_07"
20150120,"16","2014_12_31_18_56_42"
20150121,"01","2014_10_30_11_38_24"
20150121,"02","2014_11_28_18_44_23"
20150121,"03/04","2014_12_31_11_20_30"
20150121,"05","2014_10_30_15_49_09"
20150121,"06","2014_10_30_15_53_39"
20150121,"07","2014_10_30_16_4_28"
20150121,"08","2014_10_30_16_13_21"
20150121,"09","2014_10_30_16_31_38"
20150121,"10","2014_10_30_16_47_21"
20150121,"11","2014_10_30_16_58_33"
20150121,"12","2014_10_30_20_1_20"
20150121,"13","2014_12_31_18_53_07"
20150121,"16","2014_12_31_18_56_42"
20150122,"01","2014_10_30_11_38_24"
20150122,"02","2014_11_28_18_44_23"
20150122,"03/04","2014_12_31_11_20_30"
20150122,"05","2014_10_30_15_49_09"
20150122,"06","2014_10_30_15_53_39"
20150122,"07","2014_10_30_16_4_28"
20150122,"08","2014_10_30_16_13_21"
20150122,"09","2014_10_30_16_31_38"
20150122,"10","2014_10_30_16_47_21"
20150122,"11","2014_10_30_16_58_33"
20150122,"12","2014_10_30_20_1_20"
20150122,"13","2014_12_31_18_53_07"
20150122,"16","2014_12_31_18_56_42"
20150724,"10","2015_4_2_10_29_29"
20150724,"11","2015_4_2_10_31_39"
20150724,"12","2014_10_30_20_1_20"
20150724,"13","2014_12_31_18_53_07"
20150724,"16","2015_4_8_10_56_60"
20150725,"01","2014_10_30_11_40_25"
20150725,"02","2014_10_30_15_6_25"
20150725,"03/04","2014_12_31_18_25_05"
20150725,"05","2014_10_30_15_51_10"
20150725,"06","2014_10_30_15_56_40"
20150725,"07","2014_10_30_16_7_31"
20150725,"08","2015_6_29_8_35_28"
20150725,"09","2014_10_30_16_34_39"
20150130,"01","2014_10_30_11_43_26"
20150130,"02","2014_10_30_15_9_26"
20150130,"03/04","2014_12_31_11_20_30"
20150130,"05","2014_10_30_15_49_09"
20150130,"06","2014_10_30_15_53_39"
20150130,"07","2014_10_30_16_4_28"
20150130,"08","2014_10_30_16_13_21"
20150130,"09","2014_10_30_16_31_38"
20150130,"10","2015_2_3_9_26_23"
20150130,"11","2014_10_30_16_58_33"
20150130,"12","2014_10_30_20_1_20"
20150130,"13","2014_12_31_18_53_07"
20150130,"16","2014_12_31_18_56_42"
20150725,"10","2015_4_2_10_28_24"
20150725,"11","2014_10_30_17_3_36"
20150725,"12","2014_10_30_20_0_19"
20150725,"13","2014_12_31_18_54_08"
20150725,"16","2015_5_27_15_36_70"
20150726,"01","2014_10_30_11_40_25"
20150726,"02","2014_10_30_15_6_25"
20150726,"03/04","2014_12_31_18_25_05"
20150726,"05","2014_10_30_15_51_10"
20150726,"06","2014_10_30_15_56_40"
20150726,"07","2014_10_30_16_7_31"
20150726,"08","2015_6_29_8_35_28"
20150726,"09","2014_10_30_16_34_39"
20150126,"01","2014_10_30_11_38_24"
20150126,"02","2014_11_28_18_44_23"
20150126,"03/04","2014_12_31_11_20_30"
20150126,"05","2014_10_30_15_49_09"
20150126,"06","2014_10_30_15_53_39"
20150126,"07","2014_10_30_16_4_28"
20150126,"08","2014_10_30_16_13_21"
20150126,"09","2014_10_30_16_31_38"
20150126,"10","2014_10_30_16_47_21"
20150126,"11","2014_10_30_16_58_33"
20150126,"12","2014_10_30_20_1_20"
20150126,"13","2014_12_31_18_53_07"
20150126,"16","2014_12_31_18_56_42"
20150127,"01","2014_10_30_11_38_24"
20150127,"02","2014_11_28_18_44_23"
20150127,"03/04","2014_12_31_11_20_30"
20150127,"05","2014_10_30_15_49_09"
20150127,"06","2014_10_30_15_53_39"
20150127,"07","2014_10_30_16_4_28"
20150127,"08","2014_10_30_16_13_21"
20150127,"09","2014_10_30_16_31_38"
20150127,"10","2014_10_30_16_47_21"
20150127,"11","2014_10_30_16_58_33"
20150127,"12","2014_10_30_20_1_20"
20150127,"13","2014_12_31_18_53_07"
20150525,"01","2014_10_30_11_38_24"
20150525,"02","2014_11_28_18_44_23"
20150525,"03/04","2014_12_31_11_20_30"
20150525,"05","2014_10_30_15_49_09"
20150525,"06","2014_10_30_15_53_39"
20150525,"07","2014_10_30_16_4_28"
20150525,"08","2014_10_30_16_13_21"
20150525,"09","2014_10_30_16_31_38"
20150525,"10","2015_4_2_10_29_29"
20150525,"11","2015_4_2_10_31_39"
20150525,"12","2014_10_30_20_1_20"
20150525,"13","2014_12_31_18_53_07"
20150525,"16","2015_4_8_10_56_60"
20150526,"01","2014_10_30_11_38_24"
20150407,"01","2014_10_30_11_38_24"
20150407,"02","2014_11_28_18_44_23"
20150407,"03/04","2014_12_31_11_20_30"
20150407,"05","2014_10_30_15_49_09"
20150407,"06","2014_10_30_15_53_39"
20150407,"07","2014_10_30_16_4_28"
20150407,"08","2014_10_30_16_13_21"
20150407,"09","2014_10_30_16_31_38"
20150407,"10","2015_4_2_10_29_29"
20150407,"11","2015_4_2_10_31_39"
20150407,"12","2014_10_30_20_1_20"
20150407,"13","2014_12_31_18_53_07"
20150407,"16","2015_4_8_10_56_60"
20150526,"02","2014_11_28_18_44_23"
20150526,"03/04","2014_12_31_11_20_30"
20150526,"05","2014_10_30_15_49_09"
20150526,"06","2014_10_30_15_53_39"
20150526,"07","2014_10_30_16_4_28"
20150526,"08","2014_10_30_16_13_21"
20150526,"09","2014_10_30_16_31_38"
20150526,"10","2015_4_2_10_29_29"
20150526,"11","2015_4_2_10_31_39"
20150526,"12","2014_10_30_20_1_20"
20150526,"13","2014_12_31_18_53_07"
20150526,"16","2015_4_8_10_56_60"
20150527,"01","2014_10_30_11_38_24"
20150527,"02","2014_11_28_18_44_23"
20150527,"03/04","2014_12_31_11_20_30"
20150527,"05","2014_10_30_15_49_09"
20150527,"06","2014_10_30_15_53_39"
20150527,"07","2014_10_30_16_4_28"
20150527,"08","2014_10_30_16_13_21"
20150527,"09","2014_10_30_16_31_38"
20150527,"10","2015_4_2_10_29_29"
20150527,"11","2015_4_2_10_31_39"
20150527,"12","2014_10_30_20_1_20"
20150527,"13","2014_12_31_18_53_07"
20150527,"16","2015_4_8_10_56_60"
20150528,"01","2014_10_30_11_38_24"
20150528,"02","2014_11_28_18_44_23"
20150528,"03/04","2014_12_31_11_20_30"
20150528,"05","2014_10_30_15_49_09"
20150528,"06","2014_10_30_15_53_39"
20150528,"07","2014_10_30_16_4_28"
20150528,"08","2014_10_30_16_13_21"
20150528,"09","2014_10_30_16_31_38"
20150528,"10","2015_4_2_10_29_29"
20150528,"11","2015_4_2_10_31_39"
20150129,"01","2014_10_30_11_38_24"
20150129,"02","2014_11_28_18_44_23"
20150129,"03/04","2014_12_31_11_20_30"
20150129,"05","2014_10_30_15_49_09"
20150129,"06","2014_10_30_15_53_39"
20150129,"07","2014_10_30_16_4_28"
20150129,"08","2014_10_30_16_13_21"
20150129,"09","2014_10_30_16_31_38"
20150129,"10","2014_10_30_16_47_21"
20150129,"11","2014_10_30_16_58_33"
20150129,"12","2014_10_30_20_1_20"
20150129,"13","2014_12_31_18_53_07"
20150129,"16","2014_12_31_18_56_42"
20150408,"01","2014_10_30_11_38_24"
20150408,"02","2014_11_28_18_44_23"
20150408,"03/04","2014_12_31_11_20_30"
20150408,"05","2014_10_30_15_49_09"
20150408,"06","2014_10_30_15_53_39"
20150408,"07","2014_10_30_16_4_28"
20150408,"08","2014_10_30_16_13_21"
20150408,"09","2014_10_30_16_31_38"
20150408,"10","2015_4_2_10_29_29"
20150408,"11","2015_4_2_10_31_39"
20150408,"12","2014_10_30_20_1_20"
20150408,"13","2014_12_31_18_53_07"
20150408,"16","2015_4_8_10_56_60"
20150528,"12","2014_10_30_20_1_20"
20150528,"13","2014_12_31_18_53_07"
20150528,"16","2015_4_8_10_56_60"
20150726,"10","2015_4_2_10_28_24"
20150726,"11","2014_10_30_17_3_36"
20150726,"12","2014_10_30_20_0_19"
20150726,"13","2014_12_31_18_54_08"
20150726,"16","2015_5_27_15_36_70"
20150730,"01","2014_10_30_11_38_24"
20150730,"02","2014_11_28_18_44_23"
20150730,"03/04","2014_12_31_11_20_30"
20150730,"05","2014_10_30_15_49_09"
20150730,"06","2014_10_30_15_53_39"
20150730,"07","2014_10_30_16_4_28"
20150730,"08","2015_6_29_8_33_27"
20150730,"09","2014_10_30_16_31_38"
20150730,"10","2015_4_2_10_29_29"
20150730,"11","2015_4_2_10_31_39"
20150730,"12","2014_10_30_20_1_20"
20150202,"01","2014_10_30_11_38_24"
20150202,"02","2014_11_28_18_44_23"
20150202,"03/04","2014_12_31_11_20_30"
20150202,"05","2014_10_30_15_49_09"
20150202,"06","2014_10_30_15_53_39"
20150202,"07","2014_10_30_16_4_28"
20150202,"08","2014_10_30_16_13_21"
20150202,"09","2014_10_30_16_31_38"
20150202,"10","2015_2_3_9_26_23"
20150202,"11","2014_10_30_16_58_33"
20150202,"12","2014_10_30_20_1_20"
20150202,"13","2014_12_31_18_53_07"
20150202,"16","2014_12_31_18_56_42"
20150203,"01","2014_10_30_11_38_24"
20150203,"02","2014_11_28_18_44_23"
20150203,"03/04","2014_12_31_11_20_30"
20150203,"05","2014_10_30_15_49_09"
20150203,"06","2014_10_30_15_53_39"
20150203,"07","2014_10_30_16_4_28"
20150203,"08","2014_10_30_16_13_21"
20150203,"09","2014_10_30_16_31_38"
20150203,"10","2015_2_3_9_26_23"
20150203,"11","2014_10_30_16_58_33"
20150203,"12","2014_10_30_20_1_20"
20150203,"13","2014_12_31_18_53_07"
20150203,"16","2014_12_31_18_56_42"
20150204,"01","2014_10_30_11_38_24"
20150204,"02","2014_11_28_18_44_23"
20150204,"03/04","2014_12_31_11_20_30"
20150204,"05","2014_10_30_15_49_09"
20150204,"06","2014_10_30_15_53_39"
20150204,"07","2014_10_30_16_4_28"
20150204,"08","2014_10_30_16_13_21"
20150204,"09","2014_10_30_16_31_38"
20150204,"10","2015_2_3_9_26_23"
20150204,"11","2014_10_30_16_58_33"
20150204,"12","2014_10_30_20_1_20"
20150204,"13","2014_12_31_18_53_07"
20150204,"16","2014_12_31_18_56_42"
20150205,"01","2014_10_30_11_38_24"
20150205,"02","2014_11_28_18_44_23"
20150205,"03/04","2014_12_31_11_20_30"
20150205,"05","2014_10_30_15_49_09"
20150205,"06","2014_10_30_15_53_39"
20150205,"07","2014_10_30_16_4_28"
20150205,"08","2014_10_30_16_13_21"
20150205,"09","2014_10_30_16_31_38"
20150205,"10","2015_2_3_9_26_23"
20150205,"11","2014_10_30_16_58_33"
20150205,"12","2014_10_30_20_1_20"
20150205,"13","2014_12_31_18_53_07"
20150205,"16","2014_12_31_18_56_42"
20150730,"13","2014_12_31_18_53_07"
20150730,"16","2015_4_8_10_56_60"
20150731,"03/04","2014_12_31_11_20_30"
20150731,"05","2014_10_30_15_49_09"
20150731,"06","2014_10_30_15_53_39"
20150731,"07","2014_10_30_16_4_28"
20150731,"08","2015_6_29_8_33_27"
20150731,"09","2014_10_30_16_31_38"
20150731,"10","2015_4_2_10_29_29"
20150731,"11","2015_4_2_10_31_39"
20150731,"12","2014_10_30_20_1_20"
20150731,"13","2014_12_31_18_53_07"
20150731,"16","2015_4_8_10_56_60"
20150825,"13","2014_12_31_18_53_07"
20150825,"16","2015_4_8_10_56_60"
20150731,"01","2014_10_30_11_43_26"
20150731,"02","2014_10_30_15_9_26"
20150826,"01","2014_10_30_11_38_24"
20150826,"02","2014_11_28_18_44_23"
20150826,"03/04","2015_7_16_12_27_51"
20150320,"01","2014_10_30_11_43_26"
20150320,"02","2014_10_30_15_9_26"
20150320,"03/04","2014_12_31_11_20_30"
20150320,"05","2014_10_30_15_49_09"
20150320,"06","2014_10_30_15_53_39"
20150320,"07","2014_10_30_16_4_28"
20150320,"08","2014_10_30_16_13_21"
20150320,"09","2014_10_30_16_31_38"
20150320,"10","2015_2_3_9_26_23"
20150320,"11","2014_10_30_16_58_33"
20150320,"12","2014_10_30_20_1_20"
20150320,"13","2014_12_31_18_53_07"
20150320,"16","2015_2_17_14_41_51"
20150826,"05","2014_10_30_15_49_09"
20150826,"06","2015_7_16_12_33_45"
20150826,"07","2014_10_30_16_4_28"
20150826,"08","2015_6_29_8_33_27"
20150826,"09","2014_10_30_16_31_38"
20150826,"10","2015_4_2_10_29_29"
20150826,"11","2015_4_2_10_31_39"
20150814,"06","2015_7_16_12_33_45"
20150814,"07","2014_10_30_16_4_28"
20150814,"08","2015_6_29_8_33_27"
20150814,"09","2014_10_30_16_31_38"
20150814,"10","2015_4_2_10_29_29"
20150814,"11","2015_4_2_10_31_39"
20150814,"12","2014_10_30_20_1_20"
20150814,"13","2014_12_31_18_53_07"
20150814,"16","2015_4_8_10_56_60"
20150815,"01","2014_10_30_11_38_24"
20150815,"02","2014_11_28_18_44_23"
20150815,"03/04","2015_7_16_12_27_51"
20150815,"05","2014_10_30_15_49_09"
20150815,"06","2015_7_16_12_33_45"
20150815,"07","2014_10_30_16_4_28"
20150815,"08","2015_6_29_8_33_27"
20150815,"09","2014_10_30_16_31_38"
20150815,"10","2015_4_2_10_29_29"
20150815,"11","2015_4_2_10_31_39"
20150815,"12","2014_10_30_20_1_20"
20150815,"13","2014_12_31_18_53_07"
20150815,"16","2015_4_8_10_56_60"
20150816,"01","2014_10_30_11_38_24"
20150816,"02","2014_11_28_18_44_23"
20150816,"03/04","2015_7_16_12_27_51"
20150816,"05","2014_10_30_15_49_09"
20150504,"03/04","2014_12_31_11_20_30"
20150504,"05","2014_10_30_15_49_09"
20150504,"06","2014_10_30_15_53_39"
20150504,"07","2014_10_30_16_4_28"
20150504,"08","2014_10_30_16_13_21"
20150504,"09","2014_10_30_16_31_38"
20150504,"10","2015_4_2_10_29_29"
20150504,"11","2015_4_2_10_31_39"
20150504,"12","2014_10_30_20_1_20"
20150504,"13","2014_12_31_18_53_07"
20150504,"16","2015_4_8_10_56_60"
20150505,"01","2014_10_30_11_38_24"
20150505,"02","2014_11_28_18_44_23"
20150504,"01","2014_10_30_11_38_24"
20150504,"02","2014_11_28_18_44_23"
20150505,"03/04","2014_12_31_11_20_30"
20150505,"05","2014_10_30_15_49_09"
20150505,"06","2014_10_30_15_53_39"
20150505,"07","2014_10_30_16_4_28"
20150505,"08","2014_10_30_16_13_21"
20150505,"09","2014_10_30_16_31_38"
20150505,"10","2015_4_2_10_29_29"
20150505,"11","2015_4_2_10_31_39"
20150327,"01","2014_10_30_11_43_26"
20150327,"02","2014_10_30_15_9_26"
20150327,"03/04","2014_12_31_11_20_30"
20150327,"05","2014_10_30_15_49_09"
20150327,"06","2014_10_30_15_53_39"
20150327,"07","2014_10_30_16_4_28"
20150327,"08","2014_10_30_16_13_21"
20150327,"09","2014_10_30_16_31_38"
20150327,"10","2015_4_2_10_29_29"
20150327,"11","2015_4_2_10_31_39"
20150327,"12","2014_10_30_20_1_20"
20150327,"13","2014_12_31_18_53_07"
20150327,"16","2015_4_2_10_39_56"
20150505,"12","2014_10_30_20_1_20"
20150505,"13","2014_12_31_18_53_07"
20150505,"16","2015_4_8_10_56_60"
20150518,"12","2014_10_30_20_1_20"
20150518,"13","2014_12_31_18_53_07"
20150518,"16","2015_4_8_10_56_60"
20150816,"06","2015_7_16_12_33_45"
20150816,"07","2014_10_30_16_4_28"
20150816,"08","2015_6_29_8_33_27"
20150816,"09","2014_10_30_16_31_38"
20150816,"10","2015_4_2_10_29_29"
20150816,"11","2015_4_2_10_31_39"
20150816,"12","2014_10_30_20_1_20"
20150816,"13","2014_12_31_18_53_07"
20150816,"16","2015_4_8_10_56_60"
20150817,"01","2014_10_30_11_38_24"
20150508,"01","2014_10_30_11_43_26"
20150508,"02","2014_10_30_15_9_26"
20150508,"03/04","2014_12_31_11_20_30"
20150323,"01","2014_10_30_11_38_24"
20150318,"01","2014_10_30_11_38_24"
20150318,"02","2014_11_28_18_44_23"
20150318,"03/04","2014_12_31_11_20_30"
20150318,"05","2014_10_30_15_49_09"
20150319,"02","2014_11_28_18_44_23"
20150319,"03/04","2014_12_31_11_20_30"
20150319,"05","2014_10_30_15_49_09"
20150319,"06","2014_10_30_15_53_39"
20150319,"07","2014_10_30_16_4_28"
20150319,"08","2014_10_30_16_13_21"
20150319,"09","2014_10_30_16_31_38"
20150319,"10","2015_2_3_9_26_23"
20150319,"11","2014_10_30_16_58_33"
20150319,"12","2014_10_30_20_1_20"
20150319,"13","2014_12_31_18_53_07"
20150319,"16","2015_2_17_14_41_51"
20150508,"05","2014_10_30_15_49_09"
20150318,"06","2014_10_30_15_53_39"
20150318,"07","2014_10_30_16_4_28"
20150318,"08","2014_10_30_16_13_21"
20150318,"09","2014_10_30_16_31_38"
20150318,"10","2015_2_3_9_26_23"
20150318,"11","2014_10_30_16_58_33"
20150318,"12","2014_10_30_20_1_20"
20150318,"13","2014_12_31_18_53_07"
20150318,"16","2015_2_17_14_41_51"
20150319,"01","2014_10_30_11_38_24"
20150323,"02","2014_11_28_18_44_23"
20150323,"03/04","2014_12_31_11_20_30"
20150323,"05","2014_10_30_15_49_09"
20150323,"06","2014_10_30_15_53_39"
20150323,"07","2014_10_30_16_4_28"
20150323,"08","2014_10_30_16_13_21"
20150323,"09","2014_10_30_16_31_38"
20150323,"10","2015_2_3_9_26_23"
20150323,"11","2014_10_30_16_58_33"
20150323,"12","2014_10_30_20_1_20"
20150323,"13","2014_12_31_18_53_07"
20150323,"16","2015_2_17_14_41_51"
20150324,"01","2014_10_30_11_38_24"
20150324,"02","2014_11_28_18_44_23"
20150324,"03/04","2014_12_31_11_20_30"
20150324,"05","2014_10_30_15_49_09"
20150324,"06","2014_10_30_15_53_39"
20150324,"07","2014_10_30_16_4_28"
20150324,"08","2014_10_30_16_13_21"
20150324,"09","2014_10_30_16_31_38"
20150324,"10","2015_2_3_9_26_23"
20150324,"11","2014_10_30_16_58_33"
20150324,"12","2014_10_30_20_1_20"
20150324,"13","2014_12_31_18_53_07"
20150324,"16","2015_2_17_14_41_51"
20150325,"01","2014_10_30_11_38_24"
20150325,"02","2014_11_28_18_44_23"
20150325,"03/04","2014_12_31_11_20_30"
20150325,"05","2014_10_30_15_49_09"
20150325,"06","2014_10_30_15_53_39"
20150325,"07","2014_10_30_16_4_28"
20150325,"08","2014_10_30_16_13_21"
20150325,"09","2014_10_30_16_31_38"
20150325,"10","2015_2_3_9_26_23"
20150325,"11","2014_10_30_16_58_33"
20150325,"12","2014_10_30_20_1_20"
20150325,"13","2014_12_31_18_53_07"
20150325,"16","2015_2_17_14_41_51"
20150326,"01","2014_10_30_11_38_24"
20150326,"02","2014_11_28_18_44_23"
20150326,"03/04","2014_12_31_11_20_30"
20150326,"05","2014_10_30_15_49_09"
20150326,"06","2014_10_30_15_53_39"
20150326,"07","2014_10_30_16_4_28"
20150326,"08","2014_10_30_16_13_21"
20150326,"09","2014_10_30_16_31_38"
20150326,"10","2015_2_3_9_26_23"
20150326,"11","2014_10_30_16_58_33"
20150326,"12","2014_10_30_20_1_20"
20150326,"13","2014_12_31_18_53_07"
20150326,"16","2015_2_17_14_41_51"
20150508,"06","2014_10_30_15_53_39"
20150508,"07","2014_10_30_16_4_28"
20150508,"08","2014_10_30_16_13_21"
20150508,"09","2014_10_30_16_31_38"
20150508,"10","2015_4_2_10_29_29"
20150508,"11","2015_4_2_10_31_39"
20150508,"12","2014_10_30_20_1_20"
20150508,"13","2014_12_31_18_53_07"
20150508,"16","2015_4_8_10_56_60"
20150515,"01","2014_10_30_11_43_26"
20150515,"02","2014_10_30_15_9_26"
20150515,"03/04","2014_12_31_11_20_30"
20150515,"05","2014_10_30_15_49_09"
20150515,"06","2014_10_30_15_53_39"
20150515,"07","2014_10_30_16_4_28"
20150515,"08","2014_10_30_16_13_21"
20150515,"09","2014_10_30_16_31_38"
20150515,"10","2015_4_2_10_29_29"
20150515,"11","2015_4_2_10_31_39"
20150515,"12","2014_10_30_20_1_20"
20150515,"13","2014_12_31_18_53_07"
20150515,"16","2015_4_8_10_56_60"
20150522,"01","2014_10_30_11_43_26"
20150522,"02","2014_10_30_15_9_26"
20150522,"03/04","2014_12_31_11_20_30"
20150522,"05","2014_10_30_15_49_09"
20150522,"06","2014_10_30_15_53_39"
20150522,"07","2014_10_30_16_4_28"
20150522,"08","2014_10_30_16_13_21"
20150522,"09","2014_10_30_16_31_38"
20150522,"10","2015_4_2_10_29_29"
20150522,"11","2015_4_2_10_31_39"
20150522,"12","2014_10_30_20_1_20"
20150522,"13","2014_12_31_18_53_07"
20150522,"16","2015_4_8_10_56_60"
20150529,"01","2014_10_30_11_43_26"
20150529,"02","2014_10_30_15_9_26"
20150529,"03/04","2014_12_31_11_20_30"
20150529,"05","2014_10_30_15_49_09"
20150529,"06","2014_10_30_15_53_39"
20150529,"07","2014_10_30_16_4_28"
20150529,"08","2014_10_30_16_13_21"
20150529,"09","2014_10_30_16_31_38"
20150529,"10","2015_4_2_10_29_29"
20150529,"11","2015_4_2_10_31_39"
20150529,"12","2014_10_30_20_1_20"
20150529,"13","2014_12_31_18_53_07"
20150529,"16","2015_4_8_10_56_60"
20150411,"01","2014_10_30_11_40_25"
20150411,"02","2014_10_30_15_6_25"
20150411,"03/04","2014_12_31_18_25_05"
20150411,"05","2014_10_30_15_51_10"
20150411,"06","2014_10_30_15_56_40"
20150411,"07","2014_10_30_16_7_31"
20150411,"08","2014_10_30_16_16_22"
20150411,"09","2014_10_30_16_34_39"
20150411,"10","2015_4_2_10_28_24"
20150411,"11","2014_10_30_17_8_38"
20150411,"12","2014_10_30_20_0_19"
20150411,"13","2014_12_31_18_54_08"
20150411,"16","2015_4_8_10_55_56"
20150817,"02","2014_11_28_18_44_23"
20150817,"03/04","2015_7_16_12_27_51"
20150817,"05","2014_10_30_15_49_09"
20150817,"06","2015_7_16_12_33_45"
20150817,"07","2014_10_30_16_4_28"
20150817,"08","2015_6_29_8_33_27"
20150817,"09","2014_10_30_16_31_38"
20150817,"10","2015_4_2_10_29_29"
20150817,"11","2015_4_2_10_31_39"
20150817,"12","2014_10_30_20_1_20"
20150817,"13","2014_12_31_18_53_07"
20150817,"16","2015_4_8_10_56_60"
20150818,"01","2014_10_30_11_38_24"
20150818,"02","2014_11_28_18_44_23"
20150818,"03/04","2015_7_16_12_27_51"
20150818,"05","2014_10_30_15_49_09"
20150818,"06","2015_7_16_12_33_45"
20150818,"07","2014_10_30_16_4_28"
20150818,"08","2015_6_29_8_33_27"
20150818,"09","2014_10_30_16_31_38"
20150818,"10","2015_4_2_10_29_29"
20150818,"11","2015_4_2_10_31_39"
20150818,"12","2014_10_30_20_1_20"
20150818,"13","2014_12_31_18_53_07"
20150818,"16","2015_4_8_10_56_60"
20150819,"01","2014_10_30_11_38_24"
20150819,"02","2014_11_28_18_44_23"
20150819,"03/04","2015_7_16_12_27_51"
20150819,"05","2014_10_30_15_49_09"
20150819,"06","2015_7_16_12_33_45"
20150819,"07","2014_10_30_16_4_28"
20150819,"08","2015_6_29_8_33_27"
20150819,"09","2014_10_30_16_31_38"
20150819,"10","2015_4_2_10_29_29"
20150819,"11","2015_4_2_10_31_39"
20150819,"12","2014_10_30_20_1_20"
20150128,"02","2014_11_28_18_44_23"
20150819,"13","2014_12_31_18_53_07"
20150819,"16","2015_4_8_10_56_60"
20150820,"01","2014_10_30_11_38_24"
20150820,"02","2014_11_28_18_44_23"
20150820,"03/04","2015_7_16_12_27_51"
20150820,"05","2014_10_30_15_49_09"
20150820,"06","2015_7_16_12_33_45"
20150820,"07","2014_10_30_16_4_28"
20150820,"08","2015_6_29_8_33_27"
20150820,"09","2014_10_30_16_31_38"
20150820,"10","2015_4_2_10_29_29"
20150820,"11","2015_4_2_10_31_39"
20150820,"12","2014_10_30_20_1_20"
20150820,"13","2014_12_31_18_53_07"
20150128,"03/04","2014_12_31_11_20_30"
20150128,"05","2014_10_30_15_49_09"
20150128,"06","2014_10_30_15_53_39"
20150128,"07","2014_10_30_16_4_28"
20150128,"08","2014_10_30_16_13_21"
20150128,"09","2014_10_30_16_31_38"
20150820,"16","2015_4_8_10_56_60"
20150821,"01","2014_10_30_11_38_24"
20150821,"02","2014_11_28_18_44_23"
20150821,"03/04","2015_7_16_12_27_51"
20150209,"01","2014_10_30_11_38_24"
20150821,"05","2014_10_30_15_49_09"
20150209,"02","2014_11_28_18_44_23"
20150209,"03/04","2014_12_31_11_20_30"
20150209,"05","2014_10_30_15_49_09"
20150209,"06","2014_10_30_15_53_39"
20150209,"07","2014_10_30_16_4_28"
20150209,"08","2014_10_30_16_13_21"
20150209,"09","2014_10_30_16_31_38"
20150209,"10","2015_2_3_9_26_23"
20150209,"11","2014_10_30_16_58_33"
20150209,"12","2014_10_30_20_1_20"
20150209,"13","2014_12_31_18_53_07"
20150209,"16","2014_12_31_18_56_42"
20150210,"01","2014_10_30_11_38_24"
20150210,"02","2014_11_28_18_44_23"
20150210,"03/04","2014_12_31_11_20_30"
20150210,"05","2014_10_30_15_49_09"
20150210,"06","2014_10_30_15_53_39"
20150210,"07","2014_10_30_16_4_28"
20150210,"08","2014_10_30_16_13_21"
20150210,"09","2014_10_30_16_31_38"
20150210,"10","2015_2_3_9_26_23"
20150210,"11","2014_10_30_16_58_33"
20150210,"12","2014_10_30_20_1_20"
20150210,"13","2014_12_31_18_53_07"
20150210,"16","2014_12_31_18_56_42"
20150821,"06","2015_7_16_12_33_45"
20150821,"07","2014_10_30_16_4_28"
20150821,"08","2015_6_29_8_33_27"
20150211,"01","2014_10_30_11_38_24"
20150211,"02","2014_11_28_18_44_23"
20150211,"03/04","2014_12_31_11_20_30"
20150211,"05","2014_10_30_15_49_09"
20150211,"06","2014_10_30_15_53_39"
20150211,"07","2014_10_30_16_4_28"
20150211,"08","2014_10_30_16_13_21"
20150211,"09","2014_10_30_16_31_38"
20150211,"10","2015_2_3_9_26_23"
20150211,"11","2014_10_30_16_58_33"
20150211,"12","2014_10_30_20_1_20"
20150211,"13","2014_12_31_18_53_07"
20150211,"16","2014_12_31_18_56_42"
20150212,"01","2014_10_30_11_38_24"
20150212,"02","2014_11_28_18_44_23"
20150212,"03/04","2014_12_31_11_20_30"
20150212,"05","2014_10_30_15_49_09"
20150212,"06","2014_10_30_15_53_39"
20150212,"07","2014_10_30_16_4_28"
20150212,"08","2014_10_30_16_13_21"
20150212,"09","2014_10_30_16_31_38"
20150212,"10","2015_2_3_9_26_23"
20150212,"11","2014_10_30_16_58_33"
20150212,"12","2014_10_30_20_1_20"
20150212,"13","2014_12_31_18_53_07"
20150212,"16","2014_12_31_18_56_42"
20150821,"09","2014_10_30_16_31_38"
20150821,"10","2015_4_2_10_29_29"
20150821,"11","2015_4_2_10_31_39"
20150821,"12","2014_10_30_20_1_20"
20150821,"13","2014_12_31_18_53_07"
20150821,"16","2015_4_8_10_56_60"
20150822,"01","2014_10_30_11_38_24"
