ST_NO,"FACILITY_DESCP","TYPE","TOILET_INSIDE","FACILITY_DESCP_EN"			
0321,"2号口:凯旋北路,3号口:凯旋北路,4号口:镇坪路,5号口:镇坪路,6号口:镇坪路,7号口:镇坪路","2","","Exit 2:North Kaixuan Rd,Exit 3:North Kaixuan Rd,4 Zhenping Rd,5 Zhenping Rd,6 Zhenping Rd,7 Zhenping Rd"			
0321,"3号线:直升梯  地面-站台  往上海南站方向站台车尾  往江洋北路方向站台车头","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the rear of the platform  North Jiangyang Rd direction to the front of the platform"			
0322,"3号线:非付费区  4 5号出入口,4号线:非付费区  4 5号出入口","1","0","Line 3:Non-paying zone  4 5 entrance,Line 4:Non-paying zone  4 5 entrance"			
0322,"1号口:远景路 博士娃幼儿园,2号口:远景路 宜川地段医院 上海联通大厦 华经大厦,3号口:远景路 中远两湾城 中远实验学校,4号口:远景路 上海商业技术学校","2","","Exit 1:Yuanjing Rd Boshiwa Kindergarten,Exit 2:Yuanjing Rd Yichuan Dry-cleaning Center Shanghai Unicom Mansion Huajing Mansion,Exit 3:Yuanjing Rd Cosco Two Bay City Cosco Experimental School,Exit 4:Yuanjing Rd Shanghai Commerce Accounting School"			
0322,"3号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0323,"1号口:铁路南广场,2号口:铁路南广场,3号口:恒丰路 民立路  秣陵路,4号口:秣陵路,5号口:民立路 天目西路,6号口:沈家宅 太阳山路 交通路 铁路北广场 长途客运总站","2","","Exit 1:Shanghai Railway Station South Square,Exit 2:Shanghai Railway Station South Square,Exit 3:Moling Rd Minli Rd,Exit 4:Moling Rd,Exit 5:Minli Rd West Tianmu Rd,Exit 6:The Shens' House Taiyangshan Rd Jiaotong Rd Shanghai Railway Station North Square Shanghai Long-distance Bus Passenger Transport Terminal"			
0323,"1号线:付费区  近5号出入口,3号线:付费区  往江阳北路方向站台车头,4号线:付费区  往江阳北路方向站台车","1","1","Line 1:Pay Zone  Exit 5 entrance side,Line 3:Pay Zone  North Jiangyang Rd direction to the front of the platform,Line 4:Pay Zone  North Jiangyang Rd direction to the front of the platform"			
0323,"3号线:直升梯  地面-站台  往江洋北路方向站台车头","3","","Line 3:Helicopter ladder  The ground to the platform  North Jiangyang Rd direction to the front of the platform"			
0324,"3号线:非付费区  1号口旁,4号线:非付费区  1号口旁","1","0,0","Line 3:Non-paying zone  Exit 1 entrance side,Line 4:Non-paying zone  Exit 1 entrance side"			
0324,"1号口:虬江路 交通路 上海音像城 宝山路小学 闸北第五中学,2号口:交通路 会都大酒店 中铁二十四局集团","2","","Exit 1:Qiujiang Rd Jiaotong Rd Shanghai Audio And Video City Baoshan Rd Elementary School Zhabei No.5 Middle School,Exit 2:Jiaotong Rd Hui Du Hotel China Railway 24th Bureau Group"			
0324,"3号线:直升梯  地面-站台  往上海南站方向站台车尾  往江洋北路方向站台车头","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the rear of the platform  North Jiangyang Rd direction to the front of the platform"			
0325,"3号线:付费区  1号口旁","1","1","Exit 6 entrance side"			
0325,"1号口:海伦西路 金象大厦 鑫成宾馆,2号口:东宝兴路 上海市公安局城市轨道交通分局,","2","","Exit 1:West Hailun Rd Jinxiang Mansion Xincheng Hotel,Exit 2:Dongbaoxing Rd Urban Tail Traffic Branch,Shanghai Municipal Public Security Bureau,"			
0325,"3号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 3:Helicopter ladder  The ground to the platform  Shang South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0326,"1号口:东江湾路 虹口足球场 虹口游泳池,2号口:东江湾路 虹口足球场 鲁迅公园,3号口:西江湾路 虹口足球场 鲁迅公园,4号口:西江湾路 上海绿地有限公司 虹口足球场","2","","Exit 1:Dongjiangwan Rd Hongkou Soccer Stadium Hongkou Swimming Pool,Exit 2:Dongjiangwan Rd Hongkou Soccer Stadium Luxun Park,Exit 3:Xijiangwan Rd Hongkou Soccer Stadium Luxun Park,Exit 4:Xijiangwan Rd Shanghai Greenland Limited Company Hongkou Soccer Stadium"			
0326,"3号线:站外  2楼商场内,8号线:付费区  往沈杜公路方向车头","1","0,1","Line 3:Outside of a station  The 2 floor shopping mall,Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0326,"3号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0327,"3号线:非付费区  近4号口","1","0","Line 3:Non-paying zone  Near Exit 4"			
0327,"1号口:赤峰路 广纪路 上海国际文化交流中心,2号口:中山北一路 上海科学院上海技术物理研究所,3号口:广纪路 玉田路 上海财经大学,4号口:广纪路 上海财经大学,","2","","Exit 1:Chifeng Rd Guangji Rd Shangwai International Cultural Exchange Center,Exit 2:North Zhongshan 1st Rd China Academy of Sciences Shanghai Technology physics Academe,Exit 3:Guangji Rd Yutian Rd Shanghai University of Finance and Economics,Exit 4:Guangji Rd Shanghai University of Finance and Economics,"			
0327,"3号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0328,"3号线:非付费区  近2号口","1","0","Line 3:Non-paying zone  Near Exit 2"			
0328,"1号口:新市路 汶水东路 甘河路 广纪路 新市南路,2号口:中山北一路,3号口:广纪路","2","","Exit 1:Xingshi RD Wenshui Rd Ganhe Rd Guangji Rd Xingshi Rd.(S.),Exit 2:Zhongshan No.1 Rd.(S.),Exit 3:Guangji Rd."			
0328,"3号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 3:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0329,"3号线:非付费区  7号口旁","1","0","Line 3:Non-paying zone  Near Exit 7"			
0329,"1号口:场中路 上海逸仙现货交易市场 逸仙小区,3号口:逸仙路,5号口:仁德路 华联吉买盛,6号口:仁德路 华联吉买盛,7号口:场中路 上海逸仙现货交易市场 逸仙小区,","2","","Exit 1:Changzhong Rd Shanghai Yixian Steel Material Spot Transaction Market Yixian Unit,Exit 3:Yixian Rd,Exit 5:Rende Rd Hua Lian GMS,Exit 6:Rende Rd Hua Lian GMS,Exit 7:Changzhong Rd Shanghai Yixian Steel Materia lSpot Transaction Market Yixian Unit,"			
0329,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0330,"3号线:非付费区  车控室旁","1","0","Line 3:Non-paying zone  Next to the control room"			
0330,"1号口:殷高西路 逸仙路","2","","Exit 1:West Yingao Rd Yixian Rd"			
0330,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0331,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0331,"1号口:长江南路 逸仙高架路,2号口:长江南路 何家湾路","2","","Exit 1:South Changjiang Rd Yixian Elevated Rd,Exit 2: South Changjiang Rd Hejiawan Rd"			
0331,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0332,"1号口:淞发路 逸仙高架路 逸兴家园 新逸仙公寓,","2","","Exit 1:Songfa Rd Yixian Elevated Rd Yixing Homeland New Yixian Apartment,"			
0332,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0332,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0333,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0333,"1号口:逸仙路 上海钢管股份有限公司 上海集团张华浜分公司,","2","","Exit 1:Yixian Rd Shanghai Steel Tube Limited Company Shanggang Group Zhanghuabang Branch,"			
0333,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0334,"3号线:非付费区  2号出入口旁","1","0","Line 3:Non-paying zone  Exit 2 entrance side"			
0334,"1号口:逸仙高架路 淞滨路 机关大院 吴淞中学 英港医院,2号口:逸仙高架路 淞兴路 长征新村幼儿园 金海马家具广场,","2","","Exit 1:Yixian Elevated Rd Songbin Rd Office Courtyard Wusong Middle School Yinggang Hospital,Exit 2:Yixian Elevated Rd Songxing Rd Changzheng Xincun Kindergarden Jinhaima Furniture Boutique Square,"			
0334,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0335,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0335,"1号口:水产路 逸仙高架路 江济路 海滨医院 同济路地段医院 宝山区水产小学,2号口:水产路 逸仙高架路 江济路 吴淞初级中学 宝山环境监测站 ,","2","","Exit 1:Shuichan Rd Yixian Elevated Rd Jiangji Rd Haibin Hospital Tongji Rd Health Service Center Shuichan Primary School,Exit 2:Shuichan Rd Yixian Elevated Rd Jiangji Rd Wusong Junior High School Baoshan Environment Monitoring Station,"			
0335,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0336,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0336,"1号口:同济路  宝山人民政府 宝山文化中心","2","","Exit 1:Tongji Rd Baoshan People's Government Baoshan Cultural Center"			
0336,"""3号线:直升梯  地面-站台  站厅站台中间""","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0337,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0337,"1号口:同济路 友谊路 宝钢体育馆 上海市公安局宝山分局,","2","","Exit 1:Tongji Rd Youyi Rd Baosteel Gymnasium Baoshan Branch,Shanghai Municipal Public Security Bureau"			
0337,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0338,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0338,"1号口:富锦路 宝地绿洲城 宝江公安分局,2号口:铁力路 富锦路 宝地绿洲城 宝江公安分局,","2","","Exit 1:Fujin Rd Baodi Lvzhou Cheng Baojiang Public Security Branch,Exit 2:Tieli Rd Fujin Rd Baodi Lvzhou Cheng Baojiang Public Security Branch,"			
0338,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0339,"3号线:付费区  车控室旁","1","1","Line 3:Pay Zone  Next to the control room"			
0339,"1号口:江杨北路 富锦路 乐业小学","2","","Exit 1:North Jiangyang Rd Fujin Rd Leye Primary School"			
0339,"3号线:直升梯  地面-站台  站厅站台中间","3","","Line 3:Helicopter ladder  The ground to the platform  The station hall central platform"			
0401,"1号口:裕德路,2号口:零陵路,3号口:零陵路,4号口:漕溪北路,5号口:零陵路 漕溪北路,6号口:漕溪北路 中山南二路,7号口:漕溪北路 中山西路,8号口:漕溪北路 裕德路 中漕路","2","","Exit 1:Yude Rd,Exit 2:Lingling R,Exit 3:Lingling Rd,Exit 4:North Caoxi Rd,Exit 5:Caoxi Rd Lingling Rd,Exit 6:North Caoxi Rd Zhongnan 2nd Rd,Exit 7:North Caoxi Rd West Zhongshan Rd,Exit 8:North Caoxi Rd Yude Rd Zhongcao Rd"			
0401,"1号线:付费区  往莘庄方向站台车头,4号线:付费区  外圈车头","1","1,1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 4:Pay Zone  Outer front"			
0401,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0402,"1号口:凯旋路,3号口:宜山路,4号口:凯旋路","2","","Exit 1:Kaixuan Rd,Exit 3:Yishan Rd,Exit 4:Kaixuan Rd,Exit 5:Kaixuan Rd North Xuhong Rd"			
0402,"9号线:站外  4号口站外公厕","1","0","Line 9:Outside of a station  4 entrance outside"			
0402,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0403,"3号线:非付费区  近2号口,4号线:非付费区  近2号口,10号线:非付费区  近4号口","1","0,0,0","Line 3:Non-paying zone  Near Exit 2,Line 4:Non-paying zone  Near Exit 2,Line 10:Non-paying zone  Near Exit 4"			
0403,"1号口:凯旋路 上海城市雕塑艺术中心 虹桥灯饰布艺城,2号口:虹桥路 东方文化广播有限公司 上海第一中级人民法院,3号口:虹桥路 中山广场 阳光色画城,4号口:淮海西路,6号口:凯旋路","2","","Exit 1:Kaixuan Rd Shanghai Sculpture Space Hongqiao Light and Fabrics City,Exit 2:Hongqiao Rd Oriental Culture Broadcast Limited Company Shanghai No.1 Intermediate People's Court,Exit 3:Hongqiao Rd Zhongshan Plaza Sunshine Painting City,Exit 4:West Huaihai Rd,Exit 6:Kaixuan Rd"			
0403,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0404,"3号线:站外  近2号口,4号线:站外  近2号口","1","0,0","Line 3:Outside of a station  Near Exit 2,Line 4:Outside of a station  Near Exit 2"			
0404,"1号口:定西路 中山西路 昭化路 武夷路 武夷花园 上海开元中学,2号口:定西路 中山西路 仙霞路 天山公园 龙丰大厦","2","","Exit 1:Dingxi Rd West Zhongshan Rd Zhaohua Rd Wuyi Rd Wuyi Garden Shanghai Kaiyuan School,Exit 2:Dingxi Rd West Zhongshan Rd Xianxia Rd Tianshan Park Long Feng Building"			
0404,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0405,"2号线:付费区  往广兰路方向车头,3号线:非付费区  龙之梦通道,4号线:非付费区  龙之梦通道","1","1,0,0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 3:Non-paying zone  The Cloud Nine Shopping Mall channel,Line 4:Non-paying zone  The Cloud Nine Shopping Mall channel"			
0405,"1号口:凯旋路,2号口:凯旋路,3号口:凯旋路 长宁路,4号口:凯旋路 长宁路,5号口:长宁路,6号口:长宁路,7号口:汇川路,8号口:凯旋路","2","","Exit 1:Kaixuan Rd,Exit 2:Kaixuan Rd,Exit 3:Kaixuan Rd Changning Rd,Exit 4:Kaixuan Rd Changning Rd,Exit 5:Changning Rd,Exit 6:Changning Rd,Exit 7:Huichuan Rd,Exit 8:Kaixuan Rd"			
0405,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0406,"1号口:宁夏路 凯旋北路 大华清水湾 华东政法学院 华东师范大学","2","","Exit 1:Ningxia Rd North Kaixuan Rd Dahua Clear Water Bay Garden East China University of Political Science and Law East China Normal University"			
0406,"3号线:付费区  1号口处,4号线:付费区  1号口处,13号线:非付费区  近6号口","1","0","Line 3:Pay Zone  Exit 1,Line 4:Pay Zone  Exit 1,Line 13:Non-paying zone  Near Exit 6"			
0406,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0407,"1号口:曹杨路 中联大厦 普陀区图书馆,2号口:曹杨路 中运大酒店 中关村公寓 中关村科技大厦 上海大众三汽公共交通有限公司,4号口:曹杨路 凯旋北路 长城大厦 武宁小城 武宁路小学,5号口:曹杨路,6号口:凯旋北路,7号口:凯旋北路","2","","Exit 1:Caoyang Rd Zhong Lian Building Putuo Library,Exit 2:Caoyang Rd Zhongyun Hotel Zhongguancun Apartment Zhongguancun Technology Building Shanghai Volkswagen Sanqi Public Traffic Limited Company,Exit 4:Caoyang Rd North Kaixuan Rd Great Wall Building Wuning Xiaocheng Wuning Rd Primary School,Exit 5:Caoyang Rd,Exit 6:North Kaixuan Rd,Exit 7:North Kaixuan Rd"			
0407,"3号线:付费区  6号口处,4号线:付费区  6号口处,11号线:非付费区  近2号口","1","0","Line 3:Pay Zone  Exit 6,Line 4:Pay Zone  Exit 6,Line 11:Non-paying zone  Near Exit 2"			
0407,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0408,"3号线:付费区  7号线换乘通道口,4号线:付费区  7号线换乘通道口,7号线:非付费区  近6号出入口","1","0,0,1","Line 3:Pay Zone  Line 7 transfer channel,Line 4:Pay Zone  Line 7 transfer channel,Line 7:Non-paying zone  Near Exit 6"			
0408,"2号口:凯旋北路,3号口:凯旋北路,4号口:镇坪路,5号口:镇坪路,6号口:镇坪路,7号口:镇坪路","2","","Exit 2:North Kaixuan Rd,Exit 3:North Kaixuan Rd,4 Zhenping Rd,5 Zhenping Rd,6 Zhenping Rd,7 Zhenping Rd"			
0408,"4号线:直升梯  地面-站台  往上海南站方向站台车尾  往江洋北路方向站台车头","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the rear of the platform  North Jiangyang Rd direction to the front of the platform"			
0409,"3号线:非付费区  4 5号出入口,4号线:非付费区  4 5号出入口","1","0","Line 3:Non-paying zone  4 5 entrance,Line 4:Non-paying zone  4 5 entrance"			
0409,"1号口:远景路 博士娃幼儿园,2号口:远景路 宜川地段医院 上海联通大厦 华经大厦,3号口:远景路 中远两湾城 中远实验学校,4号口:远景路 上海商业技术学校","2","","Exit 1:Yuanjing Rd Boshiwa Kindergarten,Exit 2:Yuanjing Rd Yichuan Dry-cleaning Center Shanghai Unicom Mansion Huajing Mansion,Exit 3:Yuanjing Rd Cosco Two Bay City Cosco Experimental School,Exit 4:Yuanjing Rd Shanghai Commerce Accounting School"			
0409,"4号线:直升梯  地面-站台  往上海南站方向站台车头  往江洋北路方向站台车尾","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the front of the platform  North Jiangyang Rd direction to the rear of the platform"			
0410,"1号线:付费区  近5号出入口,3号线:付费区  往江阳北路方向站台车头,4号线:付费区  往江阳北路方向站台车","1","1,1,1","Line 1:Pay Zone  Exit 5 entrance side,Line 3:Pay Zone  North Jiangyang Rd direction to the front of the platform,Line 4:Pay Zone  North Jiangyang Rd direction to the front of the platform"			
0410,"1号口:铁路南广场,2号口:铁路南广场,3号口:恒丰路 民立路  秣陵路,4号口:秣陵路,5号口:民立路 天目西路,6号口:沈家宅 太阳山路 交通路 铁路北广场 长途客运总站","2","","Exit 1:Shanghai Railway Station South Square,Exit 2:Shanghai Railway Station South Square,Exit 3:Moling Rd Minli Rd,Exit 4:Moling Rd,Exit 5:Minli Rd West Tianmu Rd,Exit 6:The Shens' House Taiyangshan Rd Jiaotong Rd Shanghai Railway Station North Square Shanghai Long-distance Bus Passenger Transport Terminal"			
0410,"4号线:直升梯  地面-站台  往江洋北路方向站台车头","3","","Line 4:Helicopter ladder  The ground to the platform  North Jiangyang Rd direction to the front of the platform"			
0411,"1号口:虬江路 交通路 上海音像城 宝山路小学 闸北第五中学,2号口:交通路 会都大酒店 中铁二十四局集团","2","","Exit 1:Qiujiang Rd Jiaotong Rd Shanghai Audio And Video City Baoshan Rd Elementary School Zhabei No.5 Middle School,Exit 2:Jiaotong Rd Hui Du Hotel China Railway 24th Bureau Group"			
0411,"3号线:非付费区  1号口旁,4号线:非付费区  1号口旁","1","0","Line 3:Non-paying zone  Exit 1 entrance side,Line 4:Non-paying zone  Exit 1 entrance side"			
0411,"4号线:直升梯  地面-站台  往上海南站方向站台车尾  往江洋北路方向站台车头","3","","Line 4:Helicopter ladder  The ground to the platform  Shanghai South Railway Station direction to the rear of the platform  North Jiangyang Rd direction to the front of the platform"			
0412,"4号线:付费区  外圈车头,10号线:非付费区  近7号口","1","1,0","Line 4:Pay Zone  Outer front,Line 10:Non-paying zone  Near Exit 7"			
0412,"1号口:同嘉路,2号口:同嘉路 ,3号口:四平路 ,5号口:海伦路四平路,7号口:四平路天水路","2","","Exit 1:Tongjia Rd,Exit 2:Tongjia Rd,Exit 3:Siping Rd,Exit 3:Siping Rd,Exit 7:Siping Rd"			
0412,"4号线:直升梯  地面-站厅  2号口旁,4号线:直升梯  站厅-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground station hall  Exit 2 entrance side,Line 4:Helicopter ladder  The station hall to the platform  Inner front"			
0413,"4号线:站外  1 2号口站外公厕","1","0","Line 4：Outside of a station  1 and 2 entrance outside"			
0413,"1号口:飞虹路 瑞虹新城  虹口区人民政府,2号口:飞虹路 虹领公寓 瑞虹新城,3号口:飞虹路 临平路 虹领公寓 瑞虹新城,4号口:飞虹路 虹领公寓 瑞虹新城","2","","Exit 1:Feihong Rd Ruihong New Town Hongkou People's Government,Exit 2:Feihong Rd Hongling Apartment Ruihong New Town,Exit 3:Feihong Rd Linping Rd Hongling Apartment Ruihong New Town,Exit 4:Feihong Rd Hongling Apartment Ruihong New Town"			
0413,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0414,"1号口:大连路 兰侨大厦 上海市市东中学 上海市提篮桥监狱,2号口:大连路 长阳路 兰侨大厦 上海市市东中学 上海市提篮桥监狱","2","","Exit 1:Dalian Rd Lanqiao Mansion Shanghai Shidong Middle School Shanghai Tilanqiao Prison,Exit 2:Dalian Rd Changyang Rd Lanqiao Mansion Shanghai Shidong Middle School Shanghai Tilanqiao Prison"			
0414,"4号线:付费区  外圈车头,12号线:站外  靠近6号口","1","1,0","Line 4:Pay Zone  Outer front,Line 12:Outside of a station  Near Exit 6"			
0414,"4号线:直升梯  地面-站厅  2号口旁,4号线:直升梯  站厅-站台  站厅站台中间","3","","Line 4:Helicopter ladder  The ground station hall  Exit 2 entrance side,Line 4:Helicopter ladder  The station hall to the platform  The station hall central platform"			
0415,"4号线:付费区  外圈车头","1","1","Line 4:Pay Zone  Outer front"			
0415,",2号口:大连路 杨树浦路 港云大厦,4号口:大连路 平凉路 大连隧道","2","","Exit 2:Dalian Rd Yangshupu Rd Gangyun Building,Exit 4:Dalian Rd Pingliang Rd Dalian Rd Tunnel"			
0415,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0416,"4号线:站外  1号口站外公厕","1","0","Line 4:Outside of a station  1 entrance outside"			
0416,"1号口:浦东大道 浦东第一图书馆 中国工商银行浦东大道支行,3号口:栖霞路 浦东大道 浦东第一图书馆 中国工商银行浦东大道支行,4号口:栖霞路 浦东大道 浦东第一图书馆 中国工商银行浦东大道支行","2","","Exit 1:Pudong Avenue Pudong 1st Library Pudong Avenue Branch,ICBC,Exit 3:Qi Xia Rd Pudong Avenue Pudong 1st Library Pudong Avenue Branch,ICBC,Exit 4:Qi Xia Rd Pudong Avenue Pudong 1st Library Pudong Avenue Branch,ICBC"			
0416,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0417,"2号线:付费区  往广兰路方向车尾,6号线:付费区  往港城路方向车头","1","1,1","Line 2:Pay Zone  Guanglan Rd direction to the rear of the platform,Line 6:Pay Zone  Gangcheng Rd direction to the front of the platform"			
0417,"1号口:世纪大道,6号口:世纪大道,7号口:世纪大道,12号口:东方路 福山路","2","","Exit 1:Century Avenue,Exit 6:Century Avenue,Exit 7:Century Avenue,Exit 12:Dongfang Rd Fushan Rd"			
0417,"4号线:直升梯  地面-站台  内圈车头","3","",",Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0418,"4号线:非付费区  近1号口","1","0","Line 4:Non-paying zone  Near Exit 1"			
0418,"1号口:福山路,2号口:浦电路,3号口:浦电路","2","","Exit 1:Fushan Rd,Exit 2:Pudian Rd,Exit 3:Pudian Rd"			
0418,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0419,"4号线:非付费区  近2号口,6号线:付费区  站厅南端","1","0,1","Line 4:Non-paying zone  Near Exit 2,Line 6:Pay Zone  South station hall"			
0419,"1号口:东方路 浦东中学 浦东新区教育学院,2号口:东方路 蓝村路 上海市文建中学 易初莲花购物中心,3号口:东方路","2","","Exit 1:Dongfang Rd Pudong Middle School Pudong Education College,Exit 2:Dongfang Rd Lancun Rd Shanghai Wenjian Middle School Lotus,Exit 3:Dongfang Rd"			
0419,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0420,"4号线:付费区  外圈车头","1","1","Line 4:Pay Zone  Outer front"			
0420,"2号口:浦东南路 浦建路 上海市塘桥中学,3号口:浦东南路 浦建路 塘桥派出所","2","","Exit 2:South Pudong Rd Pujian Rd Tangqiao Middle School,Exit 3:South Pudong Rd Pujian Rd Tangqiao Police Station"			
0420,"4号线:直升梯  地面-站厅  4号口旁,4号线:直升梯  站厅-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground station hall  Exit 4 entrance side,Line 4:Helicopter ladder  The station hall to the platform  Inner front"			
0421,"4号线:付费区  外圈车头","1","1","Line 4:Pay Zone  Outer front"			
0421,"2号口:国货路 南浦大厦 上海市第八中学,3号口:中山南路 上海交通大学技术学院","2","","Exit 2:Guohuo Rd Nanpu Mansion Shanghai No.8 High School,Exit 3:South Zhongshan Rd Technology College of Shanghai Jiao Tong University"			
0421,"4号线:直升梯  地面-站台  站台站厅中间","3","","Line 4:Helicopter ladder  The ground to the platform  The station hall central platform"			
0422,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0422,"1号口:中山南路,2号口:中山南路,3号口:西藏南路,4号口:中山南一路,5号口:西藏南路","2","","Exit 1:South Zhongshan Rd,Exit 2:South Zhongshan Rd,Exit 3:South Xizang Rd,Exit 4:Zhongshan 1st Rd,Exit 5:South Xizang Rd"			
0422,"4号线:直升梯  地面-站台  内圈车头  2号口","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front  Exit 2"			
0423,"4号线:站外  1号出入口外公厕","1","0","Line 4:Outside of a station  1 entrance outside"			
0423,"1号口:鲁班路 中山南一路 港湾福利院 上海震旦外国语中学,2号口:鲁班路 中山南一路 前进学院,3号口:鲁班路 中山南一路 东南医院,","2","","Exit 1:Luban RdSouth Zhongshan 1st Rd Shanghai Green Harbour Welfare Hospital Shanghai Aurora Foreign Language Middle School,Exit 2:Luban Rd South Zhongshan 1st Rd Qianjin College,Exit 3:Luban Rd South Zhongshan 1st RdDongnan Hospital,"			
0423,"4号线:直升梯  地面-站台  内圈车头","3","","Line 4:Helicopter ladder  The ground to the platform  Inner front"			
0424,"4号线:站外  4号出入口外公厕","1","0","Line 4:Outside of a station  4 entrance outside"			
